date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:49	81/81	---M-Z	200	added ('OK')	text/plain	etag:%226a-5ed88aa01588c-gzip%22	https://www.arizon.az/robots.txt		(from )
20:27:50	126745/126745	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2016:27:50%20GMT	https://www.arizon.az/	C:/Users/sahin/Desktop/arizon/www.arizon.az/index.html	(from )
20:27:50	4663/4663	---M-Z	200	added ('OK')	application/javascript	etag:%2216b84d5ca0860f4021b60651d3559c17%22	https://www.arizon.az/cdn-cgi/apps/head/Gd6MZLBdeI8JqGMYwGDOkaXYMCo.js	C:/Users/sahin/Desktop/arizon/www.arizon.az/cdn-cgi/apps/head/Gd6MZLBdeI8JqGMYwGDOkaXYMCo.js	(from https://www.arizon.az/)
20:27:50	4286/4286	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2210be-5fce9e8e50dc5%22	https://www.arizon.az/favicon.ico	C:/Users/sahin/Desktop/arizon/www.arizon.az/favicon.ico	(from https://www.arizon.az/)
20:27:50	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-5fd7586fbe0b6-gzip%22	https://www.arizon.az/frontend/plugins/bootstrap/dist/css/bootstrap.min.css	C:/Users/sahin/Desktop/arizon/www.arizon.az/frontend/plugins/bootstrap/dist/css/bootstrap.min.css	(from https://www.arizon.az/)
20:27:51	60934/60934	---MCZ	200	added ('OK')	text/css	etag:W/%2212478-5fd7586f44f28-gzip%22	https://www.arizon.az/frontend/plugins/bootstrap-icons/bootstrap-icons.css	C:/Users/sahin/Desktop/arizon/www.arizon.az/frontend/plugins/bootstrap-icons/bootstrap-icons.css	(from https://www.arizon.az/)
20:27:51	6454/6454	---M-Z	200	added ('OK')	text/css	etag:%221936-5fd75870de235-gzip%22	https://www.arizon.az/frontend/plugins/toastr/toastr.min.css	C:/Users/sahin/Desktop/arizon/www.arizon.az/frontend/plugins/toastr/toastr.min.css	(from https://www.arizon.az/)
20:27:51	3197/3197	---MCZ	200	added ('OK')	text/css	etag:W/%2210b4-5fd7586f22c45-gzip%22	https://www.arizon.az/frontend/css/main.css?v27	C:/Users/sahin/Desktop/arizon/www.arizon.az/frontend/css/main65bf.css	(from https://www.arizon.az/)
20:27:51	1034/1034	---MCZ	200	added ('OK')	text/css	etag:W/%2253f-5fd7586f22c45-gzip%22	https://www.arizon.az/frontend/css/reset.css	C:/Users/sahin/Desktop/arizon/www.arizon.az/frontend/css/reset.css	(from https://www.arizon.az/)
20:27:52	32367/32367	---MCZ	200	added ('OK')	text/css	etag:W/%22a9f3-5fd7586f23be5-gzip%22	https://www.arizon.az/frontend/css/style.css?v27	C:/Users/sahin/Desktop/arizon/www.arizon.az/frontend/css/style65bf.css	(from https://www.arizon.az/)
20:27:52	1858/1858	---MCZ	200	added ('OK')	text/css	etag:W/%22a06-5fd7586f22c45-gzip%22	https://www.arizon.az/frontend/css/mega-menu.css?v27	C:/Users/sahin/Desktop/arizon/www.arizon.az/frontend/css/mega-menu65bf.css	(from https://www.arizon.az/)
20:27:52	2373/2373	---MCZ	200	added ('OK')	text/css	etag:W/%22e77-5fd7586f22c45-gzip%22	https://www.arizon.az/frontend/css/responsive.css?v27	C:/Users/sahin/Desktop/arizon/www.arizon.az/frontend/css/responsive65bf.css	(from https://www.arizon.az/)
